Name,Link,Class
dataset_cars/output_image1.png,https://cars.usnews.com/static/images/Auto/custom/15256/2024_Acura_Integra_Angular_Front_1.jpg,car
dataset_cars/output_image2.png,https://www.usnews.com/object/image/0000018c-5eff-dc6c-aded-ffff3d4a0000/https-cars-dms-usnews-com-static-uploads-images-auto-custom-15417-original-2024-acura-integra-type-s-angular-front-1.jpg?update-time=1695055174000&size=responsiveGallery,car
dataset_cars/output_image3.png,https://www.usnews.com/object/image/0000018b-d4ad-dbbd-a78f-d5af69f30000/01-2022-acura-mdx-angular-front-ns.JPG?update-time=1700231387938&size=responsiveGallery,car
dataset_cars/output_image4.png,https://cars.usnews.com/static/images/Auto/custom/15531/2024_Acura_RDX_1.jpg,car
dataset_cars/output_image5.png,https://www.usnews.com/object/image/0000018d-238d-db52-a99d-b3ed73650000/ar024-028gu.jpg?update-time=1705698489031&size=responsiveGallery,car
dataset_cars/output_image6.png,https://www.usnews.com/object/image/0000018d-d14f-dc95-a38f-db7f9b790000/ar024-001st.jpg?update-time=1708613671350&size=responsiveGallery,car
dataset_cars/output_image7.png,https://cars.usnews.com/static/images/Auto/custom/15274/2024_Alfa_Romeo_Tonale_Angular_Front_1.jpg,car
dataset_cars/output_image8.png,https://cars.usnews.com/static/images/Auto/custom/15530/2024_Audi_A3_1.jpg,car
dataset_cars/output_image9.png,https://www.usnews.com/object/image/0000018d-f568-dfb8-afad-fdfc59d30001/7263-my20a4allroadprestigeterragraymetallic4-1.jpg?update-time=1709219272718&size=responsiveGallery,car
dataset_cars/output_image10.png,https://cars.usnews.com/static/images/Auto/custom/15533/2024_Audi_A4_1.jpg,car
dataset_cars/output_image11.png,https://cars.usnews.com/static/images/Auto/custom/15536/2024_Audi_A5_1.jpg,car
dataset_cars/output_image12.png,https://cars.usnews.com/static/images/Auto/custom/15301/2024_Audi_A6_1.jpg,car
dataset_cars/output_image13.png,https://cars.usnews.com/static/images/Auto/custom/15300/2024_Audi_A7_1.jpg,car
dataset_cars/output_image14.png,https://www.usnews.com/object/image/0000018d-380f-debd-a19d-7e9f50290001/8630-etrongtascariblue64.jpg?update-time=1706044640334&size=responsiveGallery,car
dataset_cars/output_image15.png,https://www.usnews.com/object/image/0000018d-3d79-d9e7-a3cd-7f796e3f0001/10981-0k2a5426-1.jpg?update-time=1706133384577&size=responsiveGallery,car
dataset_cars/output_image16.png,https://cars.usnews.com/static/images/Auto/custom/15317/2024_Audi_Q4_e-tron_1.jpg,car
dataset_cars/output_image17.png,https://cars.usnews.com/static/images/Auto/custom/15544/2024_Audi_Q5_1.jpg,car
dataset_cars/output_image18.png,https://www.usnews.com/object/image/0000018d-60be-d529-a3ed-67ffba4d0001/24-audi-q7-ext1b.jpg?update-time=1706725257729&size=responsiveGallery,car
dataset_cars/output_image19.png,https://www.usnews.com/object/image/0000018c-d594-d28c-adfe-f7fd685b0001/12056-a234469large-1.jpg?update-time=1704390321872&size=responsiveGallery,car
dataset_cars/output_image20.png,https://cars.usnews.com/static/images/Auto/custom/15291/2024_Audi_Q8_e-tron_Angular_Front_1.jpg,car
dataset_cars/output_image21.png,https://www.usnews.com/object/image/0000018c-8404-d82a-abbd-fcad403b0001/p90428489-highres.jpg?update-time=1703021919338&size=responsiveGallery,car
dataset_cars/output_image22.png,https://www.usnews.com/object/image/0000018c-5ada-d399-adee-7fdf051a0001/p90479559-highres-the-new-bmw-m340i-xd-1.jpg?update-time=1705605789161&size=responsiveGallery,car
dataset_cars/output_image23.png,https://cars.usnews.com/static/images/Auto/custom/15271/2024_BMW_4-series_2.jpg,car
dataset_cars/output_image24.png,https://www.usnews.com/object/image/0000018c-da15-ddc8-a99e-dbbdc28e0001/p90458253-the-new-bmw-760i-xdrive-european-model-shown.jpg?update-time=1704465907453&size=responsiveGallery,car
dataset_cars/output_image25.png,https://cars.usnews.com/static/images/Auto/custom/15290/2024_BMW_8-Series_4.jpg,car
dataset_cars/output_image26.png,https://www.usnews.com/object/image/0000018b-f238-dc80-a9ef-f7f9e6350001/p90423612-highres-the-bmw-i4-edrive40-1.jpg?update-time=1706285558857&size=responsiveGallery,car
dataset_cars/output_image27.png,https://www.usnews.com/object/image/0000018b-f794-dff8-adef-ff97dadf0000/24-bmw-i5-ext1.jpg?update-time=1700665939698&size=responsiveGallery,car
dataset_cars/output_image28.png,https://cars.usnews.com/static/images/Auto/custom/15260/2024_BMW_i7_1.jpg,car
dataset_cars/output_image29.png,https://cars.usnews.com/static/images/Auto/custom/15236/2024_BMW_iX_1.jpg,car
dataset_cars/output_image30.png,https://www.usnews.com/object/image/0000018d-7b48-d541-a18d-7b4ce9210001/24-bmw-m2-ext1.jpg?update-time=1707170494765&size=responsiveGallery,car
dataset_cars/output_image31.png,https://www.usnews.com/object/image/0000018d-3d71-df19-abbd-3d7771dd0000/p90509760-1.jpeg?update-time=1706132861051&size=responsiveGallery,car
dataset_cars/output_image32.png,https://cars.usnews.com/static/images/Auto/custom/15575/2024_BMW_X3_1.jpg,car
dataset_cars/output_image33.png,https://cars.usnews.com/static/images/Auto/custom/15612/2024_BMW_X4_1.jpg,car
dataset_cars/output_image34.png,https://cars.usnews.com/static/images/Auto/custom/15277/2024_BMW_X7_Angular_Front_1.jpg,car
dataset_cars/output_image35.png,https://www.usnews.com/object/image/0000018b-f7de-d767-a5eb-f7fe1c240001/bmw-z4-m40i-frozengreymetallic-037.jpg?update-time=1700670610316&size=responsiveGallery,car
dataset_cars/output_image36.png,https://www.usnews.com/object/image/0000018e-15c0-deea-af9e-bfcd43c00000/24-buick-enclave-ext1.jpg?update-time=1709762102646&size=responsiveGallery,car
dataset_cars/output_image37.png,https://cars.usnews.com/static/images/Auto/custom/15276/2024_Buick_Encore_GX_Angular_Front_1.jpg,car
dataset_cars/output_image38.png,https://www.usnews.com/object/image/0000018c-266d-d0e7-a19d-677fdfbd0000/01-2024-buick-envista-angular-front-jmv.JPG?update-time=1701451883553&size=responsiveGallery,car
dataset_cars/output_image39.png,https://www.usnews.com/object/image/0000018c-5ef1-dc6c-aded-fffde0b70000/https-cars-dms-usnews-com-static-uploads-images-auto-custom-15282-original-2024-cadillac-ct4-1.jpg?update-time=1687274954000&size=responsiveGallery,car
dataset_cars/output_image40.png,https://cars.usnews.com/static/images/Auto/custom/15281/2024_Cadillac_CT5_1.jpg,car
dataset_cars/output_image41.png,https://cars.usnews.com/static/images/Auto/custom/15564/2024_Cadillac_Escalade_2.jpg,car
dataset_cars/output_image42.png,https://cars.usnews.com/static/images/Auto/custom/15238/2024_Cadillac_Lyriq_1.jpg,car
dataset_cars/output_image43.png,https://cars.usnews.com/static/images/Auto/custom/15306/2024_Cadillac_XT5_1.jpg,car
dataset_cars/output_image44.png,https://cars.usnews.com/static/images/Auto/custom/15275/2024_Cadillac_XT6_2.jpg,car
dataset_cars/output_image45.png,https://cars.usnews.com/static/images/Auto/custom/15293/2024_Chevrolet_Blazer_1.jpg,car
dataset_cars/output_image46.png,https://www.usnews.com/object/image/0000018c-6eae-dec9-a7ec-efee0cf40001/2024-chevrolet-camaro-1.jpg?update-time=1702663949371&size=responsiveGallery,car
dataset_cars/output_image47.png,https://cars.usnews.com/static/images/Auto/custom/15574/2024_Chevrolet_Colorado_Angular_Front_1.jpg,car
